Year,Day,Superior,Michigan,Huron,Erie,Ontario
2020,1,3.23,4.14,3.53,3.78,4.42
2020,2,3.2,4.12,3.38,3.77,4.4
2020,3,3.09,4.08,3.34,3.73,4.37
2020,4,3.09,4.04,3.3,3.66,4.3
2020,5,3.06,3.99,3.27,3.59,4.23
2020,6,3.03,3.96,3.27,3.56,4.2
2020,7,3,3.91,3.24,3.51,4.18
2020,8,2.96,3.87,3.15,3.42,4.12
2020,9,2.94,3.87,3.04,3.34,4.09
2020,10,2.81,3.83,2.88,3.34,4.07
2020,11,2.7,3.78,2.77,3.34,4.01
2020,12,2.61,3.64,2.65,3.33,3.94
2020,13,2.54,3.55,2.56,3.34,3.84
2020,14,2.5,3.52,2.53,3.34,3.81
2020,15,2.44,3.47,2.49,3.31,3.79
2020,16,2.38,3.38,2.45,3.27,3.74
2020,17,2.22,3.18,2.19,3.16,3.63
2020,18,2.23,3.16,2.17,2.98,3.57
2020,19,2.23,3.09,2.13,2.75,3.45
2020,20,2.26,2.99,2.03,2.53,3.34
2020,21,2.28,2.97,2.05,2.43,3.33
2020,22,2.28,3.03,2.1,2.35,3.36
2020,23,2.27,3.04,2.09,2.4,3.39
2020,24,2.25,3.06,2.12,2.51,3.34
2020,25,2.23,3.04,2.15,2.33,3.29
2020,26,2.12,3.01,2.12,2.21,3.23
2020,27,2.09,3,2.1,2.19,3.13
2020,28,2.07,2.97,2.08,2.16,3.05
2020,29,2.03,2.97,2.02,2.13,3.03
2020,30,1.99,2.94,1.93,2.08,2.99
2020,31,1.87,2.8,1.85,2.05,2.99
2020,32,1.88,2.92,1.85,2.06,2.94
2020,33,1.89,2.95,1.84,2.13,3.02
2020,34,1.92,2.98,1.85,2.15,3.1
2020,35,1.93,2.92,1.82,2.11,3.08
2020,36,1.91,2.82,1.78,2.02,2.99
2020,37,1.92,2.76,1.75,1.96,2.94
2020,38,1.86,2.68,1.64,1.87,2.86
2020,39,1.79,2.66,1.57,1.76,2.79
2020,40,1.69,2.66,1.58,1.7,2.58
2020,41,1.61,2.6,1.59,1.67,2.6
2020,42,1.63,2.61,1.59,1.65,2.65
2020,43,1.6,2.61,1.59,1.59,2.83
2020,44,1.53,2.53,1.54,1.5,2.74
2020,45,1.42,2.45,1.4,1.45,2.62
2020,46,1.37,2.45,1.37,1.38,2.61
2020,47,1.41,2.35,1.4,1.38,2.71
2020,48,1.32,2.28,1.38,1.34,2.72
2020,49,1.34,2.38,1.4,1.37,2.72
